time,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
266,113.64868,113.62821,113.60774,113.58728,113.42468,112.89678,112.86097,113.074066,113.29779,113.347084,113.39284,112.97582,113.19955,113.3171,113.22836,113.132,112.604095,112.56828,112.53246,112.920616,113.04723,113.09298,113.07251,113.05205,113.03158
267,115.6499,115.629425,115.60896,115.58849,115.42639,114.90021,114.86439,115.07663,115.29949,115.34853,115.39404,114.978386,115.20125,115.31832,115.22981,115.1337,114.60752,114.57169,114.53587,114.922585,115.04868,115.09419,115.07373,115.05326,115.03279
268,117.65111,117.630646,117.610176,117.58971,117.42809,116.90362,116.867805,117.0792,117.30119,117.349976,117.39526,116.98096,117.20295,117.31953,117.23126,117.1354,116.61093,116.57511,116.5393,116.92456,117.050125,117.09541,117.07494,117.054474,117.034004
269,119.65233,119.63185,119.61139,119.59093,119.429794,118.90704,118.87122,119.08178,119.302895,119.351425,119.39648,118.98353,119.20465,119.32075,119.23272,119.1371,118.61436,118.57854,118.54271,118.92653,119.051575,119.09663,119.07616,119.05569,119.035225
270,118.653534,118.63307,118.61261,118.59214,118.431496,117.91045,117.87465,118.08434,118.3046,118.352875,118.39769,117.9861,118.20635,118.32197,118.23416,118.13881,117.61777,117.58195,117.546135,117.92851,118.053024,118.09784,118.07738,118.05691,118.03644
271,116.654755,116.63429,116.613815,116.59335,116.4332,115.91388,115.87806,116.08692,116.306305,116.354324,116.39891,115.98868,116.20806,116.32317,116.23561,116.14051,115.62119,115.58537,115.549545,115.93048,116.054474,116.09906,116.07858,116.05812,116.03765
273,115.655975,115.6355,115.615036,115.59457,115.4349,114.9173,114.881485,115.089485,115.30801,115.35578,115.40012,114.99124,115.20976,115.324394,115.23706,115.14221,114.6246,114.58878,114.55297,114.93246,115.055916,115.100266,115.0798,115.05933,115.038864
274,113.65718,113.63672,113.61625,113.59578,113.4366,112.920715,112.884895,113.09206,113.30971,113.35722,113.40134,112.99381,113.211464,113.32561,113.23851,113.14391,112.62803,112.59221,112.55639,112.934425,113.057365,113.10149,113.08102,113.06055,113.040085
275,112.6584,112.63793,112.61746,112.597,112.4383,111.92413,111.88831,112.094635,112.31141,112.35867,112.40256,111.99638,112.21316,112.32682,112.23996,112.145615,111.63144,111.59562,111.55981,111.9364,112.05882,112.1027,112.08223,112.06176,112.0413
276,108.69506,108.6746,108.65412,108.63366,108.49078,108.0343,107.99849,108.17601,108.36389,108.4029,108.43922,108.07777,108.26565,108.36348,108.28418,108.198105,107.741615,107.70579,107.669975,107.997826,108.10305,108.139366,108.11889,108.09843,108.077965
